molwt	wlogmw
2.29E+05	1.58E-02
2.33E+05	1.52E-02
2.37E+05	1.47E-02
2.42E+05	1.41E-02
2.46E+05	1.36E-02
2.51E+05	1.31E-02
2.55E+05	1.26E-02
2.60E+05	1.21E-02
2.65E+05	1.17E-02
2.70E+05	1.12E-02
2.75E+05	1.08E-02
2.80E+05	1.04E-02
2.85E+05	9.97E-03
2.91E+05	9.57E-03
2.96E+05	9.17E-03
3.01E+05	8.80E-03
3.07E+05	8.44E-03
3.13E+05	8.08E-03
3.19E+05	7.76E-03
3.24E+05	7.44E-03
3.30E+05	7.11E-03
3.37E+05	6.78E-03
3.43E+05	6.46E-03
3.49E+05	6.14E-03
3.56E+05	5.84E-03
3.62E+05	5.54E-03
3.69E+05	5.27E-03
3.76E+05	4.99E-03
3.83E+05	4.72E-03
3.90E+05	4.44E-03
3.97E+05	4.17E-03
4.05E+05	3.92E-03
4.12E+05	3.67E-03
4.20E+05	3.44E-03
4.28E+05	3.20E-03
4.35E+05	2.96E-03
4.44E+05	2.74E-03
4.52E+05	2.52E-03
4.60E+05	2.29E-03
4.69E+05	2.07E-03
4.77E+05	1.85E-03
4.86E+05	1.64E-03
4.95E+05	1.43E-03
5.04E+05	1.23E-03
5.14E+05	1.03E-03
5.23E+05	8.28E-04
5.33E+05	6.10E-04
5.43E+05	3.98E-04
5.53E+05	1.89E-04
5.63E+05	0.00E+00
