# Average monomer weight: 200
# Computed avg degree of polymerization 18.7
# All outputs are in units of monomer wt units
# Simulated/Experimental Mn: 3740, 3919.73
# Simulated/Experimental Mw: 14128.7, 14517.4
# Simulated/Experimental Mz: 29300, 63143.4
molwt	pMW	cMW	wMW	wlogMW
213000	4.03359e-13	0.999954	8.59155e-08	0.0183
217000	3.75884e-13	0.999957	8.15668e-08	0.0177
221000	3.48068e-13	0.99996	7.69231e-08	0.017
225000	3.23951e-13	0.999962	7.28889e-08	0.0164
229000	3.01291e-13	0.999965	6.89956e-08	0.0158
233000	2.79983e-13	0.999967	6.52361e-08	0.0152
237000	2.6171e-13	0.999969	6.20253e-08	0.0147
242000	2.40762e-13	0.999971	5.82645e-08	0.0141
246000	2.24734e-13	0.999973	5.52846e-08	0.0136
251000	2.07933e-13	0.999974	5.21912e-08	0.0131
255000	1.93772e-13	0.999976	4.94118e-08	0.0126
260000	1.78994e-13	0.999977	4.65385e-08	0.0121
265000	1.66607e-13	0.999979	4.41509e-08	0.0117
270000	1.53635e-13	0.999981	4.14815e-08	0.0112
275000	1.4281e-13	0.999982	3.92727e-08	0.0108
280000	1.32653e-13	0.999983	3.71429e-08	0.0104
285000	1.22745e-13	0.999984	3.49825e-08	0.00997
291000	1.13012e-13	0.999985	3.28866e-08	0.00957
296000	1.04661e-13	0.999987	3.09797e-08	0.00917
301000	9.71292e-14	0.999988	2.92359e-08	0.0088
307000	8.955e-14	0.999988	2.74919e-08	0.00844
313000	8.24751e-14	0.999989	2.58147e-08	0.00808
319000	7.62571e-14	0.99999	2.4326e-08	0.00776
324000	7.08733e-14	0.999991	2.2963e-08	0.00744
330000	6.52893e-14	0.999992	2.15455e-08	0.00711
337000	5.96994e-14	0.999992	2.01187e-08	0.00678
343000	5.49091e-14	0.999993	1.88338e-08	0.00646
349000	5.04101e-14	0.999994	1.75931e-08	0.00614
356000	4.608e-14	0.999994	1.64045e-08	0.00584
362000	4.22759e-14	0.999995	1.53039e-08	0.00554
369000	3.87042e-14	0.999995	1.42818e-08	0.00527
376000	3.52959e-14	0.999996	1.32713e-08	0.00499
383000	3.21769e-14	0.999996	1.23238e-08	0.00472
390000	2.91913e-14	0.999997	1.13846e-08	0.00444
397000	2.64579e-14	0.999997	1.05038e-08	0.00417
405000	2.38988e-14	0.999997	9.67901e-09	0.00392
412000	2.16208e-14	0.999998	8.90777e-09	0.00367
